r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#l_sy
r,16911,625191,-10/125/31/58,0/0/0/0,314/1991/553/280,328/-242/461,0/0,1142/-2968/-12054,-27/8/-27,231/-640/-569,#l_sy
r,16912,625231,-10/125/31/58,0/-1/0/0,318/1773/552/81,328/-242/461,0/0,1210/-3212/-12226,-38/28/-55,231/-640/-569,#l_sy
r,16913,625286,-10/125/31/58,0/-5/0/0,316/1746/551/98,328/-242/461,0/0,1304/-3538/-12306,-38/43/-100,231/-640/-569,#l_sy
r,16914,625311,-10/125/31/58,0/-14/0/-7,317/1751/554/-27,329/-242/460,0/0,1300/-3759/-12346,-36/50/-123,230/-639/-568,#l_sy
r,16915,625351,-10/125/31/58,0/-17/0/-10,318/1759/551/-50,329/-242/459,0/0,1240/-3814/-12352,-30/46/-124,229/-638/-568,#l_sy
r,16916,625391,-10/125/31/58,0/-40/0/-12,316/1735/553/-40,330/-242/458,0/0,1258/-3746/-12450,-44/52/-122,228/-637/-567,#l_sy
r,16917,625436,-10/124/31/58,0/-47/0/-24,315/1689/555/-61,331/-243/457,0/0,1292/-3658/-12442,-40/49/-123,227/-636/-567,#l_sy
r,16918,625471,-10/124/31/58,0/-44/0/-21,317/1708/553/-54,332/-244/455,0/0,1316/-3608/-12498,-55/57/-116,225/-634/-567,#l_sy
r,16919,625511,-10/124/31/58,0/-71/0/-36,317/1660/553/-78,333/-245/454,0/0,1298/-3548/-12446,-45/47/-100,223/-632/-566,#l_sy
r,16920,625553,-10/124/31/58,0/-76/0/-36,315/1592/553/-134,335/-246/451,0/0,1420/-3466/-12454,-46/49/-91,220/-630/-565,#l_sy
r,16921,625592,-10/123/31/58,0/-82/0/-46,318/1612/554/-100,337/-247/448,0/0,1522/-3428/-12480,-40/42/-93,217/-627/-564,#l_sy
r,16922,625633,-10/123/31/58,-1/-116/0/-41,147/1556/553/-131,338/-249/445,0/0,1512/-3348/-12564,-59/43/-76,214/-623/-563,#l_sy
r,16923,625672,-10/123/31/57,0/-92/0/-74,38/1564/550/-118,341/-250/440,0/0,1446/-3060/-12564,-73/35/-24,210/-619/-562,#l_sy
r,16924,625712,-10/122/31/57,0/-131/0/-81,311/1560/553/-153,344/-252/436,0/0,1460/-2878/-12484,-69/20/-8,206/-614/-561,#l_sy
r,16925,625752,-10/122/31/57,0/-120/0/-70,540/1565/551/-115,347/-254/431,0/0,1414/-2688/-12582,-92/24/18,201/-609/-560,#l_sy
r,16926,625793,-10/121/31/56,0/-152/0/-79,531/1475/551/-178,350/-256/426,0/0,1400/-2490/-12666,-124/34/44,197/-604/-559,#l_sy
r,16927,625833,-10/120/31/56,-1/-152/0/-67,259/1537/552/-191,354/-258/420,0/0,1394/-2282/-12594,-123/28/74,192/-598/-557,#l_sy
r,16928,625872,-10/120/31/56,-1/-150/0/-49,301/1538/556/-173,357/-260/414,0/0,1492/-2112/-12642,-142/34/74,187/-592/-556,#l_sy
r,16929,625913,-10/119/31/56,0/-160/0/-95,70/1557/555/-192,360/-263/408,0/0,1554/-2014/-12736,-163/42/76,182/-585/-555,#l_sy
r,16930,625952,-10/118/31/55,0/-194/0/-95,314/1580/552/-177,364/-265/401,0/0,1562/-1884/-12646,-127/12/88,177/-578/-554,#l_sy
r,16931,625993,-10/117/31/55,0/-177/0/-71,325/1557/554/-153,368/-267/394,0/0,1606/-1748/-12790,-156/22/85,172/-571/-552,#l_sy
r,16932,626032,-10/117/31/55,0/-193/0/-98,322/1560/552/-170,371/-269/387,0/0,1566/-1690/-12680,-121/-5/75,167/-564/-551,#l_sy
r,16933,626073,-10/116/31/54,0/-226/0/-54,322/1562/553/-205,376/-271/380,0/0,1498/-1482/-12842,-164/10/106,163/-556/-550,#l_sy
r,16934,626113,-10/115/31/54,0/-228/0/-54,322/1603/555/-175,379/-274/372,0/0,1490/-1426/-12788,-163/4/89,158/-549/-549,#l_sy
r,16935,626146,-10/114/31/54,0/-197/0/-84,325/1604/552/-167,383/-276/364,0/0,1434/-1242/-12684,-146/-12/121,153/-541/-548,#l_sy
r,16936,626179,-10/114/31/54,0/-199/0/-48,325/1582/553/-194,385/-277/361,0/0,1452/-1148/-12928,-213/23/113,151/-537/-548,#l_sy
r,16937,626212,-10/113/31/53,0/-210/0/-58,326/1561/554/-161,388/-279/353,0/0,1396/-972/-12780,-182/-2/137,146/-529/-547,#l_sy
r,16938,626247,-10/112/31/53,0/-235/0/-64,325/1595/553/-135,392/-281/345,0/0,1378/-768/-12825,-218/14/167,142/-521/-546,#l_sy
r,16939,626287,-10/111/31/53,0/-228/0/-55,321/1601/554/-147,396/-283/336,0/0,1464/-784/-12908,-258/45/134,138/-512/-545,#l_sy
