r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,8326,312874,-10/69/26/73,5/0/0/-55,753/2056/489/-255,534/221/-110,0/0,1556/1340/-12644,-459/161/611,8/-42/285,#r_sy
r,8327,312908,-10/69/26/73,8/0/0/-45,716/2061/483/-325,534/221/-110,0/0,1588/1466/-12674,-468/160/641,8/-42/287,#r_sy
r,8328,312940,-10/69/26/73,2/0/0/-49,702/2060/486/-322,534/222/-110,0/0,1710/1556/-12574,-446/149/640,8/-42/288,#r_sy
r,8329,312974,-10/69/26/72,-1/0/1/-47,520/2057/701/-320,533/223/-110,0/0,1662/1658/-12552,-442/143/662,8/-42/291,#r_sy
r,8330,313014,-10/69/26/72,-2/0/5/-93,284/2059/742/-380,532/224/-110,0/0,1645/1566/-12618,-434/143/648,8/-43/294,#r_sy
r,8331,313055,-10/69/26/72,0/0/8/-76,278/2058/728/-412,531/226/-110,0/0,1728/1508/-12726,-445/154/621,8/-43/297,#r_sy
r,8332,313095,-10/69/26/71,1/0/10/-98,719/2057/739/-387,530/228/-110,0/0,1729/1502/-12738,-433/149/620,8/-43/301,#r_sy
r,8333,313135,-10/69/26/71,0/0/10/-130,731/2056/732/-427,529/230/-110,0/0,1770/1520/-12730,-428/149/600,8/-44/305,#r_sy
r,8334,313175,-10/69/26/70,0/0/23/-131,518/2059/782/-440,529/232/-110,0/0,1712/1468/-12782,-432/154/607,9/-44/310,#r_sy
r,8335,313215,-10/69/26/70,0/0/15/-137,506/2060/748/-477,527/235/-109,0/0,1734/1308/-12784,-439/167/556,9/-45/316,#r_sy
r,8336,313256,-10/69/26/69,0/0/22/-118,723/1993/767/-475,525/238/-109,0/0,1798/1284/-12774,-433/171/536,9/-46/322,#r_sy
r,8337,313296,-10/69/26/69,2/0/16/-162,721/1991/762/-475,523/241/-109,0/0,1895/1334/-12806,-452/189/508,9/-47/328,#r_sy
r,8338,313336,-10/69/26/68,1/0/17/-186,725/1990/715/-492,523/244/-108,0/0,1821/1384/-12756,-444/187/526,9/-48/334,#r_sy
r,8339,313376,-10/69/26/67,1/0/17/-201,729/1991/691/-510,520/247/-108,0/0,1987/1366/-12752,-458/203/476,9/-48/341,#r_sy
r,8340,313417,-10/69/26/67,6/0/4/-157,711/1993/681/-496,518/250/-108,0/0,1958/1288/-12684,-449/203/472,9/-49/348,#r_sy
r,8341,313456,-10/69/26/66,19/0/0/-178,668/1990/659/-513,517/253/-108,0/0,1998/1300/-12720,-469/220/463,9/-49/355,#r_sy
r,8342,313496,-10/69/26/65,14/0/0/-206,656/1993/408/-524,515/256/-108,0/0,2036/1272/-12684,-465/222/449,9/-49/363,#r_sy
r,8343,313536,-10/69/26/64,9/0/0/-176,657/1992/416/-521,513/259/-108,0/0,2021/1278/-12656,-471/227/454,9/-49/370,#r_sy
r,8344,313576,-10/69/26/63,9/0/0/-194,637/1990/412/-521,511/262/-109,0/0,2086/1234/-12610,-468/227/431,9/-49/378,#r_sy
r,8345,313616,-10/69/26/63,5/0/0/-238,603/1989/411/-540,508/266/-109,0/0,2090/1226/-12618,-467/228/432,9/-49/386,#r_sy
r,8346,313657,-10/69/26/62,1/0/0/-233,435/1990/409/-549,506/269/-109,0/0,2108/1220/-12666,-463/225/436,9/-49/394,#r_sy
r,8347,313696,-10/69/26/61,0/0/0/-225,250/1993/411/-543,503/273/-109,0/0,2064/1160/-12708,-458/223/441,9/-49/403,#r_sy
r,8348,313736,-10/69/26/60,-2/0/0/-260,181/1993/412/-545,500/277/-109,0/0,2146/1178/-12680,-451/222/423,9/-49/413,#r_sy
