r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,17448,645035,49/99/38/77,-5/0/0/-52,-246/2336/622/-310,379/-386/289,0/0,-1774/-3012/-11016,-140/65/600,-389/-290/-463,#r_sy
r,17449,645075,48/99/38/77,-4/0/0/-74,-241/2336/623/-333,381/-384/288,0/0,-1902/-2926/-10984,-156/58/608,-389/-290/-460,#r_sy
r,17450,645115,48/99/38/77,-4/0/0/-92,-217/2333/620/-314,381/-383/288,0/0,-1879/-2964/-10986,-156/60/576,-389/-290/-457,#r_sy
r,17451,645155,48/99/38/76,-8/0/0/-102,-236/2335/621/-288,382/-381/288,0/0,-1971/-2908/-11012,-159/58/606,-389/-291/-453,#r_sy
r,17452,645195,48/99/38/76,-5/0/0/-60,-268/2335/621/-307,384/-379/287,0/0,-1974/-2908/-11054,-162/59/589,-388/-291/-450,#r_sy
r,17453,645235,48/99/38/76,-4/0/0/-96,-254/2334/622/-321,385/-378/287,0/0,-2084/-2900/-11132,-165/57/596,-388/-291/-446,#r_sy
r,17454,645275,48/99/38/75,-6/0/0/-79,-239/2335/621/-316,386/-376/287,0/0,-2176/-2850/-11170,-165/53/620,-388/-291/-442,#r_sy
r,17455,645307,48/99/38/75,-5/0/0/-93,-248/2336/620/-321,387/-375/286,0/0,-2204/-2876/-11188,-165/53/617,-388/-291/-439,#r_sy
r,17456,645341,48/99/38/75,-7/0/0/-128,-244/2335/621/-340,388/-373/286,0/0,-2262/-2902/-11236,-167/54/622,-388/-291/-435,#r_sy
r,17457,645374,48/99/38/74,-2/0/0/-108,-249/2295/621/-400,389/-371/285,0/0,-2272/-2884/-11256,-168/52/618,-388/-292/-430,#r_sy
r,17458,645407,48/99/38/74,-6/-1/0/-139,-243/2270/621/-392,390/-370/285,0/0,-2282/-2880/-11274,-169/53/616,-388/-292/-428,#r_sy
r,17459,645441,48/99/38/74,-5/-5/0/-136,-248/2051/619/-396,392/-367/284,0/0,-2320/-2768/-11266,-160/45/635,-388/-292/-422,#r_sy
r,17460,645478,48/99/38/73,-2/-27/0/-158,-241/1996/621/-390,393/-365/283,0/0,-2314/-2736/-11244,-148/37/633,-387/-291/-416,#r_sy
r,17461,645507,48/99/38/73,-5/-24/0/-120,-228/2010/621/-406,394/-364/282,0/0,-2248/-2704/-11324,-171/50/608,-386/-291/-413,#r_sy
r,17462,645541,48/99/38/72,-10/-26/0/-168,-250/1942/622/-427,397/-361/280,0/0,-2344/-2708/-11376,-172/47/630,-385/-291/-406,#r_sy
r,17463,645575,48/99/38/71,-5/-36/0/-189,-257/2024/620/-428,399/-359/278,0/0,-2328/-2652/-11422,-172/48/621,-384/-290/-399,#r_sy
r,17464,645608,48/99/38/71,-11/-41/0/-157,-252/1989/620/-441,400/-357/277,0/0,-2330/-2606/-11410,-169/44/622,-383/-290/-395,#r_sy
r,17465,645641,48/99/38/70,-10/-43/0/-205,-248/1904/620/-437,403/-354/274,0/0,-2338/-2532/-11500,-188/55/620,-381/-289/-386,#r_sy
r,17466,645675,48/99/38/70,-10/-38/0/-207,-271/1959/622/-461,405/-351/271,0/0,-2344/-2496/-11530,-186/53/619,-379/-289/-377,#r_sy
